antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Effective Java (2nd Edition)'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'A Beginner’s Guide'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'A Beginner’s Guide'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java For Dummies'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'A Beginner’s Guide'}),frozenset({'Java For Dummies'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java: The Complete Reference'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'A Beginner’s Guide'}),frozenset({'Java: The Complete Reference'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Beginning Programming with Java'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Head First Java 2nd Edition'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Head First Java 2nd Edition'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Java For Dummies'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java For Dummies'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java: The Complete Reference'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Java: The Complete Reference'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'C++ Programming in Easy Steps'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Beginning Programming with Java'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Beginning Programming with Java'}),frozenset({'Head First Java 2nd Edition'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Head First Java 2nd Edition'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java 8 Pocket Guide'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Beginning Programming with Java'}),frozenset({'Java 8 Pocket Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'C++ Programming in Easy Steps'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Effective Java (2nd Edition)'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'C++ Programming in Easy Steps'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java 8 Pocket Guide'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'C++ Programming in Easy Steps'}),frozenset({'Java 8 Pocket Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Effective Java (2nd Edition)'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java 8 Pocket Guide'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Effective Java (2nd Edition)'}),frozenset({'Java 8 Pocket Guide'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java: The Complete Reference'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'Java: The Complete Reference'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
