support,itemsets
0.5,frozenset({'Java: The Complete Reference'})
0.5,frozenset({'Java For Dummies'})
0.5,frozenset({'A Beginner’s Guide'})
0.5,frozenset({'Head First Java 2nd Edition'})
0.5,frozenset({'Android Programming: The Big Nerd Ranch'})
0.5,frozenset({'Java 8 Pocket Guide'})
0.5,frozenset({'Beginning Programming with Java'})
0.5,frozenset({'Effective Java (2nd Edition)'})
0.5,frozenset({'C++ Programming in Easy Steps'})
0.5,frozenset({'HTML and CSS: Design and Build Websites'})
0.4,"frozenset({'Java: The Complete Reference', 'Java For Dummies'})"
0.4,"frozenset({'Java: The Complete Reference', 'A Beginner’s Guide'})"
0.3,"frozenset({'Java For Dummies', 'A Beginner’s Guide'})"
0.4,"frozenset({'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})"
0.3,"frozenset({'Effective Java (2nd Edition)', 'A Beginner’s Guide'})"
0.2,"frozenset({'Beginning Programming with Java', 'A Beginner’s Guide'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'A Beginner’s Guide'})"
0.2,"frozenset({'Head First Java 2nd Edition', 'A Beginner’s Guide'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'A Beginner’s Guide'})"
0.3,"frozenset({'Java: The Complete Reference', 'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})"
0.3,"frozenset({'Java: The Complete Reference', 'Java For Dummies', 'A Beginner’s Guide'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Java For Dummies', 'A Beginner’s Guide'})"
0.2,"frozenset({'Java: The Complete Reference', 'HTML and CSS: Design and Build Websites', 'Java For Dummies', 'A Beginner’s Guide'})"
0.3,"frozenset({'HTML and CSS: Design and Build Websites', 'Effective Java (2nd Edition)', 'A Beginner’s Guide'})"
0.2,"frozenset({'Java: The Complete Reference', 'Effective Java (2nd Edition)', 'A Beginner’s Guide'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Java: The Complete Reference', 'Effective Java (2nd Edition)', 'A Beginner’s Guide'})"
0.2,"frozenset({'Beginning Programming with Java', 'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)', 'A Beginner’s Guide'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)', 'A Beginner’s Guide'})"
0.2,"frozenset({'Beginning Programming with Java', 'Head First Java 2nd Edition', 'A Beginner’s Guide'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Head First Java 2nd Edition', 'A Beginner’s Guide'})"
0.2,"frozenset({'Beginning Programming with Java', 'HTML and CSS: Design and Build Websites', 'Head First Java 2nd Edition', 'A Beginner’s Guide'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'Java For Dummies', 'A Beginner’s Guide'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'A Beginner’s Guide'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'Java For Dummies', 'A Beginner’s Guide'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites', 'Java For Dummies', 'A Beginner’s Guide'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide', 'Java For Dummies'})"
0.3,"frozenset({'Head First Java 2nd Edition', 'Java For Dummies'})"
0.2,"frozenset({'Java: The Complete Reference', 'Head First Java 2nd Edition'})"
0.3,"frozenset({'Java 8 Pocket Guide', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java: The Complete Reference', 'Head First Java 2nd Edition', 'Java For Dummies'})"
0.4,"frozenset({'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition'})"
0.4,"frozenset({'Android Programming: The Big Nerd Ranch', 'Java For Dummies'})"
0.3,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch'})"
0.3,"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'Android Programming: The Big Nerd Ranch'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites'})"
0.3,"frozenset({'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition', 'Java For Dummies'})"
0.3,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'Java For Dummies'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition', 'Java For Dummies'})"
0.3,"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java', 'Java For Dummies'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java', 'Head First Java 2nd Edition', 'Java For Dummies'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites'})"
0.2,"frozenset({'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites', 'Java For Dummies'})"
0.2,"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites', 'Java For Dummies'})"
0.4,"frozenset({'Beginning Programming with Java', 'Head First Java 2nd Edition'})"
0.4,"frozenset({'Java 8 Pocket Guide', 'Beginning Programming with Java'})"
0.2,"frozenset({'Beginning Programming with Java', 'Java For Dummies'})"
0.3,"frozenset({'C++ Programming in Easy Steps', 'Beginning Programming with Java'})"
0.2,"frozenset({'Beginning Programming with Java', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Beginning Programming with Java', 'HTML and CSS: Design and Build Websites'})"
0.3,"frozenset({'Java 8 Pocket Guide', 'Beginning Programming with Java', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Beginning Programming with Java', 'Head First Java 2nd Edition', 'Java For Dummies'})"
0.3,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'Beginning Programming with Java'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'Beginning Programming with Java', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'Beginning Programming with Java', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'Beginning Programming with Java', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'Beginning Programming with Java', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Beginning Programming with Java', 'Effective Java (2nd Edition)', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'Beginning Programming with Java', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'Beginning Programming with Java', 'Effective Java (2nd Edition)', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'Beginning Programming with Java', 'Effective Java (2nd Edition)', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Head First Java 2nd Edition', 'Effective Java (2nd Edition)', 'C++ Programming in Easy Steps', 'Beginning Programming with Java', 'Java 8 Pocket Guide'})"
0.2,"frozenset({'Beginning Programming with Java', 'HTML and CSS: Design and Build Websites', 'Head First Java 2nd Edition'})"
0.3,"frozenset({'Java 8 Pocket Guide', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Effective Java (2nd Edition)', 'Head First Java 2nd Edition'})"
0.4,"frozenset({'HTML and CSS: Design and Build Websites', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Java: The Complete Reference', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Java 8 Pocket Guide', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'Effective Java (2nd Edition)', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Java: The Complete Reference', 'Effective Java (2nd Edition)'})"
0.4,"frozenset({'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)'})"
0.4,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'Head First Java 2nd Edition'})"
0.3,"frozenset({'C++ Programming in Easy Steps', 'HTML and CSS: Design and Build Websites'})"
0.3,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)', 'Head First Java 2nd Edition'})"
0.3,"frozenset({'HTML and CSS: Design and Build Websites', 'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'HTML and CSS: Design and Build Websites'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Java 8 Pocket Guide', 'C++ Programming in Easy Steps', 'Effective Java (2nd Edition)'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Head First Java 2nd Edition'})"
0.2,"frozenset({'Java 8 Pocket Guide', 'HTML and CSS: Design and Build Websites'})"
0.3,"frozenset({'Java: The Complete Reference', 'HTML and CSS: Design and Build Websites'})"
0.2,"frozenset({'HTML and CSS: Design and Build Websites', 'Java For Dummies'})"
0.2,"frozenset({'Java: The Complete Reference', 'HTML and CSS: Design and Build Websites', 'Java For Dummies'})"
