antecedents,consequents,support,confidence,lift
Speakers,Printer,0.2,0.4,0.8
Printer,Speakers,0.2,0.4,0.8
Laptop,Printer,0.3,0.6,1.2
Printer,Laptop,0.3,0.6,1.2
Mouse,Laptop,0.4,0.8,1.6
Laptop,Mouse,0.4,0.8,1.6
Microsoft Office,Laptop,0.2,0.4,0.8
Laptop,Microsoft Office,0.2,0.4,0.8
Speakers,Laptop,0.2,0.4,0.8
Laptop,Speakers,0.2,0.4,0.8
"Laptop, Mouse",Printer,0.2,0.5,1.0
"Mouse, Printer",Laptop,0.2,1.0,2.0
"Laptop, Printer",Mouse,0.2,0.6666666666666667,1.3333333333333335
Mouse,"Laptop, Printer",0.2,0.4,1.3333333333333335
Laptop,"Mouse, Printer",0.2,0.4,2.0
Printer,"Laptop, Mouse",0.2,0.4,1.0
"Microsoft Office, Mouse",Laptop,0.2,1.0,2.0
"Laptop, Mouse",Microsoft Office,0.2,0.5,1.0
"Laptop, Microsoft Office",Mouse,0.2,1.0,2.0
Mouse,"Laptop, Microsoft Office",0.2,0.4,2.0
Microsoft Office,"Laptop, Mouse",0.2,0.4,1.0
Laptop,"Microsoft Office, Mouse",0.2,0.4,2.0
"Laptop, Microsoft Office",Printer,0.1,0.5,1.0
"Laptop, Microsoft Office, Mouse",Printer,0.1,0.5,1.0
"Microsoft Office, Mouse, Printer",Laptop,0.1,1.0,2.0
"Laptop, Mouse, Printer",Microsoft Office,0.1,0.5,1.0
"Laptop, Microsoft Office, Printer",Mouse,0.1,1.0,2.0
"Microsoft Office, Mouse","Laptop, Printer",0.1,0.5,1.6666666666666667
"Mouse, Printer","Laptop, Microsoft Office",0.1,0.5,2.5
"Laptop, Microsoft Office","Mouse, Printer",0.1,0.5,2.5
"Microsoft Office, Speakers",Laptop,0.2,0.5,1.0
"Laptop, Speakers",Microsoft Office,0.2,1.0,2.0
"Laptop, Microsoft Office",Speakers,0.2,1.0,2.0
Speakers,"Laptop, Microsoft Office",0.2,0.4,2.0
Microsoft Office,"Laptop, Speakers",0.2,0.4,2.0
Laptop,"Microsoft Office, Speakers",0.2,0.4,1.0
"Mouse, Speakers",Laptop,0.2,1.0,2.0
"Laptop, Speakers",Mouse,0.2,1.0,2.0
"Laptop, Mouse",Speakers,0.2,0.5,1.0
Speakers,"Laptop, Mouse",0.2,0.4,1.0
Mouse,"Laptop, Speakers",0.2,0.4,2.0
Laptop,"Mouse, Speakers",0.2,0.4,2.0
"Laptop, Speakers",Printer,0.1,0.5,1.0
"Printer, Speakers",Laptop,0.1,0.5,1.0
"Microsoft Office, Mouse, Speakers",Laptop,0.2,1.0,2.0
"Laptop, Mouse, Speakers",Microsoft Office,0.2,1.0,2.0
"Laptop, Microsoft Office, Speakers",Mouse,0.2,1.0,2.0
"Laptop, Microsoft Office, Mouse",Speakers,0.2,1.0,2.0
"Mouse, Speakers","Laptop, Microsoft Office",0.2,1.0,5.0
"Microsoft Office, Speakers","Laptop, Mouse",0.2,0.5,1.25
"Laptop, Speakers","Microsoft Office, Mouse",0.2,1.0,5.0
"Microsoft Office, Mouse","Laptop, Speakers",0.2,1.0,5.0
"Laptop, Mouse","Microsoft Office, Speakers",0.2,0.5,1.25
"Laptop, Microsoft Office","Mouse, Speakers",0.2,1.0,5.0
Speakers,"Laptop, Microsoft Office, Mouse",0.2,0.4,2.0
Mouse,"Laptop, Microsoft Office, Speakers",0.2,0.4,2.0
Microsoft Office,"Laptop, Mouse, Speakers",0.2,0.4,2.0
Laptop,"Microsoft Office, Mouse, Speakers",0.2,0.4,2.0
"Laptop, Microsoft Office, Speakers",Printer,0.1,0.5,1.0
"Microsoft Office, Printer, Speakers",Laptop,0.1,0.5,1.0
"Laptop, Printer, Speakers",Microsoft Office,0.1,1.0,2.0
"Laptop, Microsoft Office, Printer",Speakers,0.1,1.0,2.0
"Laptop, Speakers","Microsoft Office, Printer",0.1,0.5,1.6666666666666667
"Printer, Speakers","Laptop, Microsoft Office",0.1,0.5,2.5
"Laptop, Microsoft Office","Printer, Speakers",0.1,0.5,2.5
"Laptop, Mouse, Speakers",Printer,0.1,0.5,1.0
"Mouse, Printer, Speakers",Laptop,0.1,1.0,2.0
"Laptop, Printer, Speakers",Mouse,0.1,1.0,2.0
"Laptop, Mouse, Printer",Speakers,0.1,0.5,1.0
"Mouse, Speakers","Laptop, Printer",0.1,0.5,1.6666666666666667
"Laptop, Speakers","Mouse, Printer",0.1,0.5,2.5
"Printer, Speakers","Laptop, Mouse",0.1,0.5,1.25
"Mouse, Printer","Laptop, Speakers",0.1,0.5,2.5
"Microsoft Office, Mouse, Printer, Speakers",Laptop,0.1,1.0,2.0
"Laptop, Microsoft Office, Mouse, Printer",Speakers,0.1,1.0,2.0
"Laptop, Mouse, Printer, Speakers",Microsoft Office,0.1,1.0,2.0
"Laptop, Microsoft Office, Mouse, Speakers",Printer,0.1,0.5,1.0
"Laptop, Microsoft Office, Printer, Speakers",Mouse,0.1,1.0,2.0
"Microsoft Office, Mouse, Printer","Laptop, Speakers",0.1,1.0,5.0
"Mouse, Printer, Speakers","Laptop, Microsoft Office",0.1,1.0,5.0
"Laptop, Mouse, Printer","Microsoft Office, Speakers",0.1,0.5,1.25
"Microsoft Office, Mouse, Speakers","Laptop, Printer",0.1,0.5,1.6666666666666667
"Laptop, Microsoft Office, Mouse","Printer, Speakers",0.1,0.5,2.5
"Laptop, Mouse, Speakers","Microsoft Office, Printer",0.1,0.5,1.6666666666666667
"Microsoft Office, Printer, Speakers","Laptop, Mouse",0.1,0.5,1.25
"Laptop, Microsoft Office, Printer","Mouse, Speakers",0.1,1.0,5.0
"Laptop, Printer, Speakers","Microsoft Office, Mouse",0.1,1.0,5.0
"Laptop, Microsoft Office, Speakers","Mouse, Printer",0.1,0.5,2.5
"Mouse, Printer","Laptop, Microsoft Office, Speakers",0.1,0.5,2.5
"Microsoft Office, Mouse","Laptop, Printer, Speakers",0.1,0.5,5.0
"Mouse, Speakers","Laptop, Microsoft Office, Printer",0.1,0.5,5.0
"Printer, Speakers","Laptop, Microsoft Office, Mouse",0.1,0.5,2.5
"Laptop, Microsoft Office","Mouse, Printer, Speakers",0.1,0.5,5.0
"Laptop, Speakers","Microsoft Office, Mouse, Printer",0.1,0.5,5.0
"Laptop, Speakers",Monitor,0.1,0.5,1.0
"Laptop, Monitor",Speakers,0.1,1.0,2.0
"Laptop, Monitor",Microsoft Office,0.1,1.0,2.0
"Laptop, Microsoft Office",Monitor,0.1,0.5,1.0
"Monitor, Mouse",Laptop,0.1,0.5,1.0
"Laptop, Monitor",Mouse,0.1,1.0,2.0
"Laptop, Monitor, Speakers",Microsoft Office,0.1,1.0,2.0
"Laptop, Microsoft Office, Speakers",Monitor,0.1,0.5,1.0
"Laptop, Microsoft Office, Monitor",Speakers,0.1,1.0,2.0
"Laptop, Speakers","Microsoft Office, Monitor",0.1,0.5,1.6666666666666667
"Laptop, Monitor","Microsoft Office, Speakers",0.1,1.0,2.5
"Laptop, Microsoft Office","Monitor, Speakers",0.1,0.5,1.25
"Laptop, Monitor, Speakers",Mouse,0.1,1.0,2.0
"Monitor, Mouse, Speakers",Laptop,0.1,1.0,2.0
"Laptop, Mouse, Speakers",Monitor,0.1,0.5,1.0
"Laptop, Monitor, Mouse",Speakers,0.1,1.0,2.0
"Laptop, Speakers","Monitor, Mouse",0.1,0.5,2.5
"Mouse, Speakers","Laptop, Monitor",0.1,0.5,5.0
"Laptop, Monitor","Mouse, Speakers",0.1,1.0,5.0
"Monitor, Mouse","Laptop, Speakers",0.1,0.5,2.5
"Microsoft Office, Monitor, Mouse",Laptop,0.1,1.0,2.0
"Laptop, Monitor, Mouse",Microsoft Office,0.1,1.0,2.0
"Laptop, Microsoft Office, Monitor",Mouse,0.1,1.0,2.0
"Laptop, Microsoft Office, Mouse",Monitor,0.1,0.5,1.0
"Monitor, Mouse","Laptop, Microsoft Office",0.1,0.5,2.5
"Laptop, Monitor","Microsoft Office, Mouse",0.1,1.0,5.0
"Microsoft Office, Mouse","Laptop, Monitor",0.1,0.5,5.0
"Laptop, Microsoft Office","Monitor, Mouse",0.1,0.5,2.5
"Microsoft Office, Monitor, Mouse, Speakers",Laptop,0.1,1.0,2.0
"Laptop, Microsoft Office, Monitor, Mouse",Speakers,0.1,1.0,2.0
"Laptop, Monitor, Mouse, Speakers",Microsoft Office,0.1,1.0,2.0
"Laptop, Microsoft Office, Mouse, Speakers",Monitor,0.1,0.5,1.0
