Itemset,Support
Desktop,0.5
External Hard Drive,0.5
Flash Drive,0.5
Keyboard,0.5
Laptop,0.5
Microsoft Office,0.5
Monitor,0.5
Mouse,0.5
Printer,0.5
Speakers,0.5
"Desktop, Flash Drive",0.3
"Desktop, Laptop",0.4
"Desktop, Mouse",0.3
"Desktop, Printer",0.4
"External Hard Drive, Keyboard",0.4
"External Hard Drive, Monitor",0.4
"External Hard Drive, Mouse",0.3
"External Hard Drive, Speakers",0.3
"Flash Drive, Microsoft Office",0.4
"Flash Drive, Printer",0.4
"Flash Drive, Speakers",0.3
"Keyboard, Laptop",0.3
"Keyboard, Monitor",0.3
"Keyboard, Mouse",0.4
"Laptop, Mouse",0.4
"Laptop, Printer",0.3
"Microsoft Office, Monitor",0.3
"Microsoft Office, Printer",0.3
"Microsoft Office, Speakers",0.4
"Monitor, Speakers",0.4
"Desktop, Flash Drive, Printer",0.3
"Desktop, Laptop, Mouse",0.3
"Desktop, Laptop, Printer",0.3
"External Hard Drive, Keyboard, Monitor",0.3
"External Hard Drive, Keyboard, Mouse",0.3
"External Hard Drive, Monitor, Speakers",0.3
"Flash Drive, Microsoft Office, Printer",0.3
"Flash Drive, Microsoft Office, Speakers",0.3
"Keyboard, Laptop, Mouse",0.3
"Microsoft Office, Monitor, Speakers",0.3
