Itemset,Support
Bread,0.5
Butter,0.5
Cheese,0.5
Chicken,0.5
Eggs,0.5
Milk,0.5
Olive Oil,0.5
Pasta,0.5
Rice,0.5
Tomato Sauce,0.5
"Bread, Butter",0.3
"Bread, Cheese",0.4
"Bread, Chicken",0.2
"Bread, Eggs",0.4
"Bread, Milk",0.3
"Bread, Tomato Sauce",0.2
"Butter, Cheese",0.4
"Butter, Chicken",0.4
"Butter, Eggs",0.2
"Butter, Milk",0.2
"Butter, Olive Oil",0.2
"Butter, Pasta",0.2
"Butter, Rice",0.3
"Butter, Tomato Sauce",0.2
"Cheese, Chicken",0.3
"Cheese, Eggs",0.3
"Cheese, Milk",0.2
"Cheese, Pasta",0.2
"Cheese, Rice",0.2
"Cheese, Tomato Sauce",0.2
"Chicken, Milk",0.2
"Chicken, Olive Oil",0.3
"Chicken, Pasta",0.2
"Chicken, Rice",0.4
"Chicken, Tomato Sauce",0.2
"Eggs, Milk",0.4
"Eggs, Pasta",0.2
"Eggs, Tomato Sauce",0.3
"Milk, Olive Oil",0.2
"Milk, Pasta",0.3
"Milk, Tomato Sauce",0.4
"Olive Oil, Pasta",0.4
"Olive Oil, Rice",0.4
"Olive Oil, Tomato Sauce",0.3
"Pasta, Rice",0.3
"Pasta, Tomato Sauce",0.4
"Rice, Tomato Sauce",0.2
"Bread, Butter, Cheese",0.3
"Bread, Butter, Chicken",0.2
"Bread, Butter, Eggs",0.2
"Bread, Cheese, Chicken",0.2
"Bread, Cheese, Eggs",0.3
"Bread, Cheese, Milk",0.2
"Bread, Cheese, Tomato Sauce",0.2
"Bread, Eggs, Milk",0.3
"Bread, Eggs, Tomato Sauce",0.2
"Bread, Milk, Tomato Sauce",0.2
"Butter, Cheese, Chicken",0.3
"Butter, Cheese, Eggs",0.2
"Butter, Cheese, Rice",0.2
"Butter, Chicken, Milk",0.2
"Butter, Chicken, Olive Oil",0.2
"Butter, Chicken, Pasta",0.2
"Butter, Chicken, Rice",0.3
"Butter, Chicken, Tomato Sauce",0.2
"Butter, Milk, Tomato Sauce",0.2
"Butter, Olive Oil, Pasta",0.2
"Butter, Olive Oil, Rice",0.2
"Butter, Pasta, Rice",0.2
"Cheese, Chicken, Rice",0.2
"Cheese, Eggs, Milk",0.2
"Cheese, Eggs, Tomato Sauce",0.2
"Cheese, Milk, Tomato Sauce",0.2
"Chicken, Milk, Tomato Sauce",0.2
"Chicken, Olive Oil, Pasta",0.2
"Chicken, Olive Oil, Rice",0.3
"Chicken, Pasta, Rice",0.2
"Eggs, Milk, Pasta",0.2
"Eggs, Milk, Tomato Sauce",0.3
"Eggs, Pasta, Tomato Sauce",0.2
"Milk, Olive Oil, Pasta",0.2
"Milk, Olive Oil, Tomato Sauce",0.2
"Milk, Pasta, Tomato Sauce",0.3
"Olive Oil, Pasta, Rice",0.3
"Olive Oil, Pasta, Tomato Sauce",0.3
"Olive Oil, Rice, Tomato Sauce",0.2
"Pasta, Rice, Tomato Sauce",0.2
"Bread, Butter, Cheese, Chicken",0.2
"Bread, Butter, Cheese, Eggs",0.2
"Bread, Cheese, Eggs, Milk",0.2
"Bread, Cheese, Eggs, Tomato Sauce",0.2
"Bread, Cheese, Milk, Tomato Sauce",0.2
"Bread, Eggs, Milk, Tomato Sauce",0.2
"Butter, Cheese, Chicken, Rice",0.2
"Butter, Chicken, Milk, Tomato Sauce",0.2
"Butter, Chicken, Olive Oil, Pasta",0.2
"Butter, Chicken, Olive Oil, Rice",0.2
"Butter, Chicken, Pasta, Rice",0.2
"Butter, Olive Oil, Pasta, Rice",0.2
"Cheese, Eggs, Milk, Tomato Sauce",0.2
"Chicken, Olive Oil, Pasta, Rice",0.2
"Eggs, Milk, Pasta, Tomato Sauce",0.2
"Milk, Olive Oil, Pasta, Tomato Sauce",0.2
"Olive Oil, Pasta, Rice, Tomato Sauce",0.2
"Bread, Cheese, Eggs, Milk, Tomato Sauce",0.2
"Butter, Chicken, Olive Oil, Pasta, Rice",0.2
