Antecedent,Consequent,Support,Confidence
Bread,Butter,0.3,0.6
Butter,Bread,0.3,0.6
Bread,Cheese,0.4,0.8
Cheese,Bread,0.4,0.8
Chicken,Bread,0.2,0.4
Bread,Chicken,0.2,0.4
Bread,Eggs,0.4,0.8
Eggs,Bread,0.4,0.8
Bread,Milk,0.3,0.6
Milk,Bread,0.3,0.6
Bread,Tomato Sauce,0.2,0.4
Tomato Sauce,Bread,0.2,0.4
Cheese,Butter,0.4,0.8
Butter,Cheese,0.4,0.8
Chicken,Butter,0.4,0.8
Butter,Chicken,0.4,0.8
Eggs,Butter,0.2,0.4
Butter,Eggs,0.2,0.4
Milk,Butter,0.2,0.4
Butter,Milk,0.2,0.4
Olive Oil,Butter,0.2,0.4
Butter,Olive Oil,0.2,0.4
Pasta,Butter,0.2,0.4
Butter,Pasta,0.2,0.4
Rice,Butter,0.3,0.6
Butter,Rice,0.3,0.6
Butter,Tomato Sauce,0.2,0.4
Tomato Sauce,Butter,0.2,0.4
Chicken,Cheese,0.3,0.6
Cheese,Chicken,0.3,0.6
Cheese,Eggs,0.3,0.6
Eggs,Cheese,0.3,0.6
Milk,Cheese,0.2,0.4
Cheese,Milk,0.2,0.4
Pasta,Cheese,0.2,0.4
Cheese,Pasta,0.2,0.4
Rice,Cheese,0.2,0.4
Cheese,Rice,0.2,0.4
Cheese,Tomato Sauce,0.2,0.4
Tomato Sauce,Cheese,0.2,0.4
Chicken,Milk,0.2,0.4
Milk,Chicken,0.2,0.4
Chicken,Olive Oil,0.3,0.6
Olive Oil,Chicken,0.3,0.6
Chicken,Pasta,0.2,0.4
Pasta,Chicken,0.2,0.4
Chicken,Rice,0.4,0.8
Rice,Chicken,0.4,0.8
Chicken,Tomato Sauce,0.2,0.4
Tomato Sauce,Chicken,0.2,0.4
Milk,Eggs,0.4,0.8
Eggs,Milk,0.4,0.8
Pasta,Eggs,0.2,0.4
Eggs,Pasta,0.2,0.4
Eggs,Tomato Sauce,0.3,0.6
Tomato Sauce,Eggs,0.3,0.6
Olive Oil,Milk,0.2,0.4
Milk,Olive Oil,0.2,0.4
Pasta,Milk,0.3,0.6
Milk,Pasta,0.3,0.6
Milk,Tomato Sauce,0.4,0.8
Tomato Sauce,Milk,0.4,0.8
Olive Oil,Pasta,0.4,0.8
Pasta,Olive Oil,0.4,0.8
Olive Oil,Rice,0.4,0.8
Rice,Olive Oil,0.4,0.8
Olive Oil,Tomato Sauce,0.3,0.6
