antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Milk'}),frozenset({'Tomato Sauce'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Tomato Sauce'}),frozenset({'Milk'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Milk'}),frozenset({'Eggs'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Eggs'}),frozenset({'Milk'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Eggs'}),frozenset({'Bread'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Bread'}),frozenset({'Eggs'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Cheese'}),frozenset({'Bread'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Bread'}),frozenset({'Cheese'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Cheese'}),frozenset({'Butter'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Butter'}),frozenset({'Cheese'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Chicken'}),frozenset({'Butter'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Butter'}),frozenset({'Chicken'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Chicken'}),frozenset({'Rice'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Rice'}),frozenset({'Chicken'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Tomato Sauce'}),frozenset({'Pasta'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Pasta'}),frozenset({'Tomato Sauce'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Pasta'}),frozenset({'Olive Oil'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Olive Oil'}),frozenset({'Pasta'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Olive Oil'}),frozenset({'Rice'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Rice'}),frozenset({'Olive Oil'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
