antecedents,consequents,support,confidence,lift
Track Pants,Socks,0.3,0.6,1.2
Socks,Track Pants,0.3,0.6,1.2
"Socks, Sweatshirt",Track Pants,0.1,1.0,2.0
Soccer Shoes,Socks,0.4,0.8,1.6
Socks,Soccer Shoes,0.4,0.8,1.6
Soccer Shoes,Track Pants,0.2,0.4,0.8
Track Pants,Soccer Shoes,0.2,0.4,0.8
Training Shirt,Soccer Shoes,0.2,0.4,0.8
Soccer Shoes,Training Shirt,0.2,0.4,0.8
"Soccer Shoes, Track Pants",Socks,0.2,1.0,2.0
"Soccer Shoes, Socks",Track Pants,0.2,0.5,1.0
"Socks, Track Pants",Soccer Shoes,0.2,0.6666666666666667,1.3333333333333335
Soccer Shoes,"Socks, Track Pants",0.2,0.4,1.3333333333333335
Track Pants,"Soccer Shoes, Socks",0.2,0.4,1.0
Socks,"Soccer Shoes, Track Pants",0.2,0.4,2.0
"Soccer Shoes, Training Shirt",Socks,0.1,0.5,1.0
"Socks, Training Shirt",Soccer Shoes,0.1,1.0,2.0
Soccer Shoes,Running Shoes,0.4,0.8,1.6
Running Shoes,Soccer Shoes,0.4,0.8,1.6
Running Shoes,Socks,0.3,0.6,1.2
Socks,Running Shoes,0.3,0.6,1.2
Training Shirt,Running Shoes,0.3,0.6,1.2
Running Shoes,Training Shirt,0.3,0.6,1.2
Shorts,Running Shoes,0.2,0.4,0.8
Running Shoes,Shorts,0.2,0.4,0.8
Running Shoes,Track Pants,0.2,0.4,0.8
Track Pants,Running Shoes,0.2,0.4,0.8
"Running Shoes, Soccer Shoes",Socks,0.3,0.7499999999999999,1.4999999999999998
"Soccer Shoes, Socks",Running Shoes,0.3,0.7499999999999999,1.4999999999999998
"Running Shoes, Socks",Soccer Shoes,0.3,1.0,2.0
Soccer Shoes,"Running Shoes, Socks",0.3,0.6,2.0
Running Shoes,"Soccer Shoes, Socks",0.3,0.6,1.4999999999999998
Socks,"Running Shoes, Soccer Shoes",0.3,0.6,1.4999999999999998
"Socks, Training Shirt",Running Shoes,0.1,1.0,2.0
"Running Shoes, Soccer Shoes, Training Shirt",Socks,0.1,0.5,1.0
"Soccer Shoes, Socks, Training Shirt",Running Shoes,0.1,1.0,2.0
"Running Shoes, Socks, Training Shirt",Soccer Shoes,0.1,1.0,2.0
"Soccer Shoes, Training Shirt","Running Shoes, Socks",0.1,0.5,1.6666666666666667
"Socks, Training Shirt","Running Shoes, Soccer Shoes",0.1,1.0,2.5
"Soccer Shoes, Training Shirt",Running Shoes,0.2,1.0,2.0
"Running Shoes, Training Shirt",Soccer Shoes,0.2,0.6666666666666667,1.3333333333333335
"Running Shoes, Soccer Shoes",Training Shirt,0.2,0.5,1.0
Training Shirt,"Running Shoes, Soccer Shoes",0.2,0.4,1.0
Soccer Shoes,"Running Shoes, Training Shirt",0.2,0.4,1.3333333333333335
Running Shoes,"Soccer Shoes, Training Shirt",0.2,0.4,2.0
"Shorts, Training Shirt",Running Shoes,0.2,0.5,1.0
"Running Shoes, Training Shirt",Shorts,0.2,0.6666666666666667,1.3333333333333335
"Running Shoes, Shorts",Training Shirt,0.2,1.0,2.0
Training Shirt,"Running Shoes, Shorts",0.2,0.4,2.0
Shorts,"Running Shoes, Training Shirt",0.2,0.4,1.3333333333333335
Running Shoes,"Shorts, Training Shirt",0.2,0.4,1.0
"Shorts, Soccer Shoes",Running Shoes,0.1,1.0,2.0
"Running Shoes, Shorts",Soccer Shoes,0.1,0.5,1.0
"Shorts, Soccer Shoes, Training Shirt",Running Shoes,0.1,1.0,2.0
"Running Shoes, Soccer Shoes, Training Shirt",Shorts,0.1,0.5,1.0
"Running Shoes, Shorts, Training Shirt",Soccer Shoes,0.1,0.5,1.0
"Running Shoes, Shorts, Soccer Shoes",Training Shirt,0.1,1.0,2.0
"Soccer Shoes, Training Shirt","Running Shoes, Shorts",0.1,0.5,2.5
"Shorts, Soccer Shoes","Running Shoes, Training Shirt",0.1,1.0,3.3333333333333335
"Running Shoes, Shorts","Soccer Shoes, Training Shirt",0.1,0.5,2.5
"Running Shoes, Shorts",Track Pants,0.1,0.5,1.0
"Running Shoes, Track Pants",Shorts,0.1,0.5,1.0
"Shorts, Track Pants",Running Shoes,0.1,0.5,1.0
"Track Pants, Training Shirt",Running Shoes,0.1,0.5,1.0
"Running Shoes, Track Pants",Training Shirt,0.1,0.5,1.0
"Running Shoes, Track Pants",Socks,0.1,0.5,1.0
"Soccer Shoes, Track Pants",Running Shoes,0.1,0.5,1.0
"Running Shoes, Track Pants",Soccer Shoes,0.1,0.5,1.0
"Running Shoes, Shorts, Training Shirt",Track Pants,0.1,0.5,1.0
"Running Shoes, Track Pants, Training Shirt",Shorts,0.1,1.0,2.0
"Shorts, Track Pants, Training Shirt",Running Shoes,0.1,0.5,1.0
"Running Shoes, Shorts, Track Pants",Training Shirt,0.1,1.0,2.0
"Track Pants, Training Shirt","Running Shoes, Shorts",0.1,0.5,2.5
"Running Shoes, Shorts","Track Pants, Training Shirt",0.1,0.5,2.5
"Running Shoes, Track Pants","Shorts, Training Shirt",0.1,0.5,1.25
