Itemset,Support
Cap,0.5
Gloves,0.5
Hoodie,0.5
Running Shoes,0.5
Shorts,0.5
Soccer Shoes,0.5
Socks,0.5
Sweatshirt,0.5
Track Pants,0.5
Training Shirt,0.5
"Cap, Running Shoes",0.4
"Cap, Shorts",0.3
"Cap, Soccer Shoes",0.3
"Cap, Training Shirt",0.4
"Gloves, Hoodie",0.3
"Gloves, Shorts",0.3
"Gloves, Sweatshirt",0.4
"Gloves, Track Pants",0.4
"Hoodie, Soccer Shoes",0.3
"Hoodie, Socks",0.4
"Hoodie, Track Pants",0.4
"Running Shoes, Soccer Shoes",0.4
"Running Shoes, Socks",0.3
"Running Shoes, Training Shirt",0.3
"Shorts, Sweatshirt",0.4
"Shorts, Training Shirt",0.4
"Soccer Shoes, Socks",0.4
"Socks, Track Pants",0.3
"Sweatshirt, Track Pants",0.3
"Sweatshirt, Training Shirt",0.3
"Cap, Running Shoes, Soccer Shoes",0.3
"Cap, Running Shoes, Training Shirt",0.3
"Cap, Shorts, Training Shirt",0.3
"Gloves, Hoodie, Track Pants",0.3
"Gloves, Shorts, Sweatshirt",0.3
"Gloves, Sweatshirt, Track Pants",0.3
"Hoodie, Soccer Shoes, Socks",0.3
"Hoodie, Socks, Track Pants",0.3
"Running Shoes, Soccer Shoes, Socks",0.3
"Shorts, Sweatshirt, Training Shirt",0.3
