Antecedent,Consequent,Support,Confidence
Cap,Running Shoes,0.4,0.8
Running Shoes,Cap,0.4,0.8
Cap,Shorts,0.3,0.6
Shorts,Cap,0.3,0.6
Cap,Soccer Shoes,0.3,0.6
Soccer Shoes,Cap,0.3,0.6
Cap,Training Shirt,0.4,0.8
Training Shirt,Cap,0.4,0.8
Hoodie,Gloves,0.3,0.6
Gloves,Hoodie,0.3,0.6
Shorts,Gloves,0.3,0.6
Gloves,Shorts,0.3,0.6
Sweatshirt,Gloves,0.4,0.8
Gloves,Sweatshirt,0.4,0.8
Gloves,Track Pants,0.4,0.8
Track Pants,Gloves,0.4,0.8
Hoodie,Soccer Shoes,0.3,0.6
Soccer Shoes,Hoodie,0.3,0.6
Hoodie,Socks,0.4,0.8
Socks,Hoodie,0.4,0.8
Hoodie,Track Pants,0.4,0.8
Track Pants,Hoodie,0.4,0.8
Soccer Shoes,Running Shoes,0.4,0.8
Running Shoes,Soccer Shoes,0.4,0.8
Running Shoes,Socks,0.3,0.6
Socks,Running Shoes,0.3,0.6
Training Shirt,Running Shoes,0.3,0.6
Running Shoes,Training Shirt,0.3,0.6
Sweatshirt,Shorts,0.4,0.8
Shorts,Sweatshirt,0.4,0.8
Training Shirt,Shorts,0.4,0.8
Shorts,Training Shirt,0.4,0.8
Soccer Shoes,Socks,0.4,0.8
Socks,Soccer Shoes,0.4,0.8
Track Pants,Socks,0.3,0.6
Socks,Track Pants,0.3,0.6
Sweatshirt,Track Pants,0.3,0.6
Track Pants,Sweatshirt,0.3,0.6
Sweatshirt,Training Shirt,0.3,0.6
Training Shirt,Sweatshirt,0.3,0.6
"Cap, Gloves",Running Shoes,0.2,1.0
"Cap, Running Shoes",Gloves,0.2,0.5
"Gloves, Running Shoes",Cap,0.2,1.0
"Cap, Gloves",Track Pants,0.2,1.0
"Cap, Track Pants",Gloves,0.2,1.0
"Gloves, Track Pants",Cap,0.2,0.5
"Cap, Hoodie",Running Shoes,0.2,1.0
"Hoodie, Running Shoes",Cap,0.2,1.0
"Cap, Running Shoes",Hoodie,0.2,0.5
"Cap, Hoodie",Soccer Shoes,0.2,1.0
"Hoodie, Soccer Shoes",Cap,0.2,0.667
"Cap, Soccer Shoes",Hoodie,0.2,0.667
"Cap, Hoodie",Socks,0.2,1.0
"Hoodie, Socks",Cap,0.2,0.5
"Cap, Socks",Hoodie,0.2,1.0
"Cap, Shorts",Running Shoes,0.2,0.667
"Cap, Running Shoes",Shorts,0.2,0.5
"Running Shoes, Shorts",Cap,0.2,1.0
Cap,"Running Shoes, Soccer Shoes",0.3,0.6
Soccer Shoes,"Cap, Running Shoes",0.3,0.6
Running Shoes,"Cap, Soccer Shoes",0.3,0.6
"Cap, Soccer Shoes",Running Shoes,0.3,1.0
"Cap, Running Shoes",Soccer Shoes,0.3,0.75
"Running Shoes, Soccer Shoes",Cap,0.3,0.75
"Cap, Running Shoes",Socks,0.2,0.5
"Cap, Socks",Running Shoes,0.2,1.0
"Running Shoes, Socks",Cap,0.2,0.667
"Cap, Track Pants",Running Shoes,0.2,1.0
"Running Shoes, Track Pants",Cap,0.2,1.0
"Cap, Running Shoes",Track Pants,0.2,0.5
Cap,"Running Shoes, Training Shirt",0.3,0.6
Training Shirt,"Cap, Running Shoes",0.3,0.6
Running Shoes,"Cap, Training Shirt",0.3,0.6
"Cap, Training Shirt",Running Shoes,0.3,0.75
"Cap, Running Shoes",Training Shirt,0.3,0.75
"Running Shoes, Training Shirt",Cap,0.3,1.0
"Cap, Sweatshirt",Shorts,0.2,1.0
"Shorts, Sweatshirt",Cap,0.2,0.5
"Cap, Shorts",Sweatshirt,0.2,0.667
Cap,"Shorts, Training Shirt",0.3,0.6
Training Shirt,"Cap, Shorts",0.3,0.6
Shorts,"Cap, Training Shirt",0.3,0.6
