antecedents,consequents,support,confidence,lift
Toothbrush,Toothpaste,0.4,0.8,1.6
Toothpaste,Toothbrush,0.4,0.8,1.6
Toothbrush,Shampoo,0.4,0.8,1.6
Shampoo,Toothbrush,0.4,0.8,1.6
Toothpaste,Shampoo,0.3,0.6,1.2
Shampoo,Toothpaste,0.3,0.6,1.2
Soap,Shampoo,0.3,0.6,1.2
Shampoo,Soap,0.3,0.6,1.2
"Toothbrush, Toothpaste",Shampoo,0.3,0.7499999999999999,1.4999999999999998
"Shampoo, Toothbrush",Toothpaste,0.3,0.7499999999999999,1.4999999999999998
"Shampoo, Toothpaste",Toothbrush,0.3,1.0,2.0
Toothbrush,"Shampoo, Toothpaste",0.3,0.6,2.0
Toothpaste,"Shampoo, Toothbrush",0.3,0.6,1.4999999999999998
Shampoo,"Toothbrush, Toothpaste",0.3,0.6,1.4999999999999998
"Soap, Toothpaste",Shampoo,0.1,0.5,1.0
"Soap, Toothbrush, Toothpaste",Shampoo,0.1,1.0,2.0
"Shampoo, Soap, Toothbrush",Toothpaste,0.1,0.5,1.0
"Shampoo, Soap, Toothpaste",Toothbrush,0.1,1.0,2.0
"Soap, Toothbrush","Shampoo, Toothpaste",0.1,0.5,1.6666666666666667
"Soap, Toothpaste","Shampoo, Toothbrush",0.1,0.5,1.25
"Soap, Toothbrush",Shampoo,0.2,1.0,2.0
"Shampoo, Toothbrush",Soap,0.2,0.5,1.0
"Shampoo, Soap",Toothbrush,0.2,0.6666666666666667,1.3333333333333335
Toothbrush,"Shampoo, Soap",0.2,0.4,1.3333333333333335
Soap,"Shampoo, Toothbrush",0.2,0.4,1.0
Shampoo,"Soap, Toothbrush",0.2,0.4,2.0
"Shampoo, Tissues",Toothpaste,0.1,1.0,2.0
"Tissues, Toothbrush",Shampoo,0.1,0.5,1.0
"Shampoo, Tissues",Toothbrush,0.1,1.0,2.0
"Tissues, Toothbrush, Toothpaste",Shampoo,0.1,0.5,1.0
"Shampoo, Tissues, Toothbrush",Toothpaste,0.1,1.0,2.0
"Shampoo, Tissues, Toothpaste",Toothbrush,0.1,1.0,2.0
"Tissues, Toothbrush","Shampoo, Toothpaste",0.1,0.5,1.6666666666666667
"Shampoo, Tissues","Toothbrush, Toothpaste",0.1,1.0,2.5
Toothbrush,Soap,0.2,0.4,0.8
Soap,Toothbrush,0.2,0.4,0.8
Soap,Tissues,0.2,0.4,0.8
Tissues,Soap,0.2,0.4,0.8
Soap,Toothpaste,0.2,0.4,0.8
Toothpaste,Soap,0.2,0.4,0.8
"Soap, Toothbrush",Toothpaste,0.1,0.5,1.0
"Soap, Toothpaste",Toothbrush,0.1,0.5,1.0
"Soap, Toothpaste",Tissues,0.1,0.5,1.0
"Soap, Tissues",Toothpaste,0.1,0.5,1.0
Conditioner,Shampoo,0.4,0.8,1.6
Shampoo,Conditioner,0.4,0.8,1.6
Conditioner,Soap,0.4,0.8,1.6
Soap,Conditioner,0.4,0.8,1.6
Conditioner,Toothbrush,0.3,0.6,1.2
Toothbrush,Conditioner,0.3,0.6,1.2
Conditioner,Laundry Detergent,0.3,0.6,1.2
Laundry Detergent,Conditioner,0.3,0.6,1.2
Conditioner,Dish Soap,0.2,0.4,0.8
Dish Soap,Conditioner,0.2,0.4,0.8
Conditioner,Tissues,0.2,0.4,0.8
Tissues,Conditioner,0.2,0.4,0.8
Conditioner,Hand Sanitizer,0.2,0.4,0.8
Hand Sanitizer,Conditioner,0.2,0.4,0.8
Conditioner,Toothpaste,0.2,0.4,0.8
Toothpaste,Conditioner,0.2,0.4,0.8
"Conditioner, Soap",Shampoo,0.3,0.7499999999999999,1.4999999999999998
"Conditioner, Shampoo",Soap,0.3,0.7499999999999999,1.4999999999999998
"Shampoo, Soap",Conditioner,0.3,1.0,2.0
