TransactionID,ItemsPurchased
1,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
2,"Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
3,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide"
4,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps, Effective Java (2nd Edition)"
5,"Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps, Effective Java (2nd Edition), HTML and CSS: Design and Build Websites, A Beginner’s Guide"
6,"Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps"
7,"Java 8 Pocket Guide, C++ Programming in Easy Steps, Effective Java (2nd Edition), HTML and CSS: Design and Build Websites"
8,"C++ Programming in Easy Steps, Effective Java (2nd Edition), HTML and CSS: Design and Build Websites, A Beginner’s Guide, Java: The Complete Reference"
9,"Effective Java (2nd Edition), HTML and CSS: Design and Build Websites, A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
10,"HTML and CSS: Design and Build Websites, A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
11,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
12,"Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
13,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide"
14,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps, Effective Java (2nd Edition)"
15,"Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps, Effective Java (2nd Edition), HTML and CSS: Design and Build Websites, A Beginner’s Guide"
16,"Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps"
17,"Java 8 Pocket Guide, C++ Programming in Easy Steps, Effective Java (2nd Edition), HTML and CSS: Design and Build Websites"
18,"C++ Programming in Easy Steps, Effective Java (2nd Edition), HTML and CSS: Design and Build Websites, A Beginner’s Guide, Java: The Complete Reference"
19,"Effective Java (2nd Edition), HTML and CSS: Design and Build Websites, A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
20,"HTML and CSS: Design and Build Websites, A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
