TransactionID,ItemsPurchased
1,"Milk, Eggs, Bread"
2,"Eggs, Bread, Cheese, Butter"
3,"Bread, Cheese, Butter, Chicken, Rice"
4,"Cheese, Butter, Chicken, Rice, Olive Oil, Pasta"
5,"Butter, Chicken, Rice, Olive Oil, Pasta, Tomato Sauce, Milk"
6,"Chicken, Rice, Olive Oil"
7,"Rice, Olive Oil, Pasta, Tomato Sauce"
8,"Olive Oil, Pasta, Tomato Sauce, Milk, Eggs"
9,"Pasta, Tomato Sauce, Milk, Eggs, Bread, Cheese"
10,"Tomato Sauce, Milk, Eggs, Bread, Cheese, Butter, Chicken"
11,"Milk, Eggs, Bread"
12,"Eggs, Bread, Cheese, Butter"
13,"Bread, Cheese, Butter, Chicken, Rice"
14,"Cheese, Butter, Chicken, Rice, Olive Oil, Pasta"
15,"Butter, Chicken, Rice, Olive Oil, Pasta, Tomato Sauce, Milk"
16,"Chicken, Rice, Olive Oil"
17,"Rice, Olive Oil, Pasta, Tomato Sauce"
18,"Olive Oil, Pasta, Tomato Sauce, Milk, Eggs"
19,"Pasta, Tomato Sauce, Milk, Eggs, Bread, Cheese"
20,"Tomato Sauce, Milk, Eggs, Bread, Cheese, Butter, Chicken"
