TransactionID,ItemsPurchased
1,"Running Shoes, Soccer Shoes, Socks"
2,"Soccer Shoes, Socks, Hoodie, Track Pants"
3,"Socks, Hoodie, Track Pants, Gloves, Sweatshirt"
4,"Hoodie, Track Pants, Gloves, Sweatshirt, Shorts, Training Shirt"
5,"Track Pants, Gloves, Sweatshirt, Shorts, Training Shirt, Cap, Running Shoes"
6,"Gloves, Sweatshirt, Shorts"
7,"Sweatshirt, Shorts, Training Shirt, Cap"
8,"Shorts, Training Shirt, Cap, Running Shoes, Soccer Shoes"
9,"Training Shirt, Cap, Running Shoes, Soccer Shoes, Socks, Hoodie"
10,"Cap, Running Shoes, Soccer Shoes, Socks, Hoodie, Track Pants, Gloves"
11,"Running Shoes, Soccer Shoes, Socks"
12,"Soccer Shoes, Socks, Hoodie, Track Pants"
13,"Socks, Hoodie, Track Pants, Gloves, Sweatshirt"
14,"Hoodie, Track Pants, Gloves, Sweatshirt, Shorts, Training Shirt"
15,"Track Pants, Gloves, Sweatshirt, Shorts, Training Shirt, Cap, Running Shoes"
16,"Gloves, Sweatshirt, Shorts"
17,"Sweatshirt, Shorts, Training Shirt, Cap"
18,"Shorts, Training Shirt, Cap, Running Shoes, Soccer Shoes"
19,"Training Shirt, Cap, Running Shoes, Soccer Shoes, Socks, Hoodie"
20,"Cap, Running Shoes, Soccer Shoes, Socks, Hoodie, Track Pants, Gloves"
