TransactionID,ItemsPurchased
1,"Toothpaste, Toothbrush, Shampoo"
2,"Toothbrush, Shampoo, Conditioner, Soap"
3,"Shampoo, Conditioner, Soap, Laundry Detergent, Dish Soap"
4,"Conditioner, Soap, Laundry Detergent, Dish Soap, Paper Towels, Tissues"
5,"Soap, Laundry Detergent, Dish Soap, Paper Towels, Tissues, Hand Sanitizer, Toothpaste"
6,"Laundry Detergent, Dish Soap, Paper Towels"
7,"Dish Soap, Paper Towels, Tissues, Hand Sanitizer"
8,"Paper Towels, Tissues, Hand Sanitizer, Toothpaste, Toothbrush"
9,"Tissues, Hand Sanitizer, Toothpaste, Toothbrush, Shampoo, Conditioner"
10,"Hand Sanitizer, Toothpaste, Toothbrush, Shampoo, Conditioner, Soap, Laundry Detergent"
11,"Toothpaste, Toothbrush, Shampoo"
12,"Toothbrush, Shampoo, Conditioner, Soap"
13,"Shampoo, Conditioner, Soap, Laundry Detergent, Dish Soap"
14,"Conditioner, Soap, Laundry Detergent, Dish Soap, Paper Towels, Tissues"
15,"Soap, Laundry Detergent, Dish Soap, Paper Towels, Tissues, Hand Sanitizer, Toothpaste"
16,"Laundry Detergent, Dish Soap, Paper Towels"
17,"Dish Soap, Paper Towels, Tissues, Hand Sanitizer"
18,"Paper Towels, Tissues, Hand Sanitizer, Toothpaste, Toothbrush"
19,"Tissues, Hand Sanitizer, Toothpaste, Toothbrush, Shampoo, Conditioner"
20,"Hand Sanitizer, Toothpaste, Toothbrush, Shampoo, Conditioner, Soap, Laundry Detergent"
